File Name,License,Author / Source,Author URL,Original File URL
eos-app-inkscape.png,Copy of the trademark,,,
eos-app-kalzium.png,,,,https://en.wikipedia.org/wiki/File:Nuvola_apps_kalzium.svg
eos-app-kapman.png,Modified Logo/icon,,,https://www.kde.org/applications/games/kapman/
eos-app-katomic.png,Created by Endless,,,
eos-app-kblocks.png,Created by Endless,,,
eos-app-kbounce.png,,,,
eos-app-kbruch.png,,,,
eos-app-kdiamond.png,Created by Endless,,,
eos-app-kgeography.png,Modified Logo/icon,,,https://userbase.kde.org/KGeography
eos-app-kgoldrunner.png,,,,
eos-app-khangman.png,Modified Logo/icon,,,http://icones.pro/en/khangman-3-png-image.html
eos-app-kigo.png,Modified Logo/icon,,,https://www.kde.org/applications/games/kigo/
eos-app-killbots.png,Modified Logo/icon,,,https://www.kde.org/applications/games/killbots/
eos-app-kjumpingcube.png,,,,
eos-app-klines.png,Created by Endless,,,
eos-app-knavalbattle.png,Modified Logo/icon,,,https://www.kde.org/applications/games/navalbattle/
eos-app-knetwalk.png,Modified Logo/icon,,,https://www.kde.org/applications/games/knetwalk/
eos-app-kobodeluxe.png,Screenshot of the App,,,
eos-app-ksame.png,Screenshot of the App,,,
eos-app-ksquares.png,Created by Endless,,,
eos-app-ksudoku.png,,,,
eos-app-ktuberling.png,,,,
eos-app-kubrick.png,Modified Logo/icon,,,https://www.kde.org/applications/games/kubrick/
eos-app-kwordquiz.png,Modified Logo/icon,,,https://edu.kde.org/kwordquiz/
eos-app-labyrinth.png,Created by Endless,,,
eos-app-libreoffice-calc.png,Created by Endless,,,
eos-app-libreoffice-impress.png,Created by Endless,,,
eos-app-libreoffice-writer.png,Created by Endless,,,
eos-app-marble.png,Modified Logo/icon,,,https://marble.kde.org/index.php
eos-app-marsshooter.png,,,,http://mars-game.sourceforge.net/?page_id=972
eos-app-megaglest.png,Super Modified Logo/icon,,,
eos-app-minetest.png,Modified Logo/icon,,,http://www.minetest.net/
eos-app-numptyphysics.png,Created by Endless,,,
eos-app-openarena.png,Copy of the trademark,,,
eos-app-openscad.png,Copy of the trademark,,,http://www.openscad.org/
eos-app-palapeli.png,Modified Logo/icon,,,https://www.kde.org/applications/games/palapeli/
eos-app-pingus.png,,,,http://tux.crystalxp.net/en.id.1819-barbecue-tux-chef-de-chantier.html
eos-app-pitivi.png,Modified Logo/icon,,,http://www.pitivi.org/?
eos-app-quadrapassel.png,Created by Endless,,,
eos-app-rhythmbox.png,Created by Endless,,,
eos-app-ri-li.png,Modified Logo/icon,,,
eos-app-scratch.png,Modified Logo/icon,,,
eos-app-shotwell.png,Created by Endless,,,
eos-app-simple-scan.png,Modified Logo/icon,,,
eos-app-skype.png,Copy of the trademark,,,
eos-app-slingshot.png,,,,
eos-app-sol.png,,,,
eos-app-solitaire.png,,,,
eos-app-steam.png,,,,
eos-app-stellarium.png,Modified Logo/icon,,,http://www.stellarium.org/
eos-app-supertux.png,CC0 1.0,Max-B Linux User Group Scandiano,,https://commons.wikimedia.org/wiki/File:TUX-G2-SVG.svg
eos-app-supertuxkart.png,Modified Logo/icon,,,
eos-app-teeworlds.png,,,,https://www.teeworlds.com/
eos-app-torcs.png,Created by Endless,,,
eos-app-totem.png,Created by Endless,,,
eos-app-turtleblocks.png,Screenshot of the App,,,
eos-app-tuxfootball.png,,Everaldo Coelho,,https://commons.wikimedia.org/wiki/File:Crystal_128_penguin.png
eos-app-tuxmath.png,CC0 1.0,Max-B Linux User Group Scandiano,,https://commons.wikimedia.org/wiki/File:TUX-G2-SVG.svg
eos-app-tuxpaint.png,CC0 1.0,,,https://pixabay.com/en/painter-tux-art-artist-beret-161318/
eos-app-tuxpuck.png,Screenshot of the App,,,
eos-app-tuxtype.png,CC0 1.0,Max-B Linux User Group Scandiano,,https://commons.wikimedia.org/wiki/File:TUX-G2-SVG.svg
eos-app-warmux.png,Screenshot of the App,,,
eos-app-warzone2100.png,Copy of the trademark,,,
eos-app-wesnoth.png,Modified Logo/icon,,,
eos-app-xmoto.png,Screenshot of the App,,,
eos-app-yelp.png,Created by Endless,,,
